"path","line","category","text"
"docs\renderer-milestone11-d3d9.csv","715","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2568"",""-"",""DECLARE_INTERFACE_"",""GetBackBuffer"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","716","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2568"",""-"",""DECLARE_INTERFACE_"",""IDirect3DSurface9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","717","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2571"",""-"",""DECLARE_INTERFACE_"",""IDirect3DDevice9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","718","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2578"",""-"",""declaration/global"",""IDirect3DSwapChain9Ex"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","719","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2578"",""-"",""declaration/global"",""LPDIRECT3DSWAPCHAIN9EX"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","720","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2586"",""-"",""declaration/global"",""GetBackBuffer"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","721","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2600"",""-"",""declaration/global"",""GetBackBuffer"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","722","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2662"",""-"",""DECLARE_INTERFACE_"",""IDirect3DAuthenticatedChannel9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","723","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2663"",""-"",""DECLARE_INTERFACE_"",""IDirect3DCryptoSession9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","724","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2688"",""-"",""declaration/global"",""IDirect3DAuthenticatedChannel9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","725","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2690"",""-"",""DECLARE_INTERFACE_"",""IDirect3DAuthenticatedChannel9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","726","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2697"",""-"",""DECLARE_INTERFACE_"",""IDirect3DAuthenticatedChannel9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","727","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2705"",""-"",""declaration/global"",""IDirect3DAuthenticatedChannel9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","728","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2705"",""-"",""declaration/global"",""LPDIRECT3DAUTHENTICATEDCHANNEL9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","729","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2730"",""-"",""declaration/global"",""IDirect3DCryptoSession9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","730","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2732"",""-"",""DECLARE_INTERFACE_"",""IDirect3DCryptoSession9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","731","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2739"",""-"",""DECLARE_INTERFACE_"",""IDirect3DCryptoSession9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","732","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2743"",""-"",""DECLARE_INTERFACE_"",""IDirect3DSurface9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","733","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2743"",""-"",""DECLARE_INTERFACE_"",""IDirect3DSurface9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","734","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2744"",""-"",""DECLARE_INTERFACE_"",""IDirect3DSurface9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","735","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2744"",""-"",""DECLARE_INTERFACE_"",""IDirect3DSurface9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","736","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2745"",""-"",""DECLARE_INTERFACE_"",""IDirect3DSurface9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","737","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2751"",""-"",""declaration/global"",""IDirect3DCryptoSession9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","738","Documentation: history or current removal/dependency explanation","""extern/include/d3d9.h"",""2751"",""-"",""declaration/global"",""LPDIRECT3DCRYPTOSESSION9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","739","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""147"",""_D3DCAPS9"",""declaration/global"",""IDirect3DTexture9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","740","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""148"",""_D3DCAPS9"",""declaration/global"",""IDirect3DCubeTexture9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","741","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""149"",""_D3DCAPS9"",""declaration/global"",""IDirect3DVolumeTexture9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","742","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""150"",""_D3DCAPS9"",""declaration/global"",""IDirect3DTexture9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","743","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""151"",""_D3DCAPS9"",""declaration/global"",""IDirect3DVolumeTexture9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","744","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""184"",""_D3DCAPS9"",""declaration/global"",""DrawPrimitive"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","745","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""187"",""_D3DCAPS9"",""declaration/global"",""SetStreamSource"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","746","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""206"",""_D3DCAPS9"",""declaration/global"",""StretchRect"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","747","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""209"",""_D3DCAPS9"",""declaration/global"",""IDirect3DTexture9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","748","Documentation: history or current removal/dependency explanation","""extern/include/d3d9caps.h"",""544"",""-"",""declaration/global"",""StretchRect"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","749","Documentation: history or current removal/dependency explanation","""extern/include/d3d9types.h"",""780"",""-"",""declaration/global"",""IDirect3DDevice9"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","750","Documentation: history or current removal/dependency explanation","""extern/include/d3d9types.h"",""1821"",""-"",""declaration/global"",""GetRenderState"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","754","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""779"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromX"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","755","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""802"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromXA"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","756","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""806"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","757","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""814"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromXW"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","758","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""818"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","759","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""826"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromX"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","760","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""826"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromXW"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","761","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""828"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromX"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","762","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""828"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromXA"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","763","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""832"",""-"",""declaration/global"",""D3DXLoadMeshHierarchyFromXInMemory"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","764","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""837"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","765","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""845"",""-"",""declaration/global"",""D3DXSaveMeshHierarchyToFile"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","766","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""865"",""-"",""declaration/global"",""D3DXSaveMeshHierarchyToFileA"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","767","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""875"",""-"",""declaration/global"",""D3DXSaveMeshHierarchyToFileW"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","768","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""885"",""-"",""declaration/global"",""D3DXSaveMeshHierarchyToFile"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","769","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""885"",""-"",""declaration/global"",""D3DXSaveMeshHierarchyToFileW"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","770","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""887"",""-"",""declaration/global"",""D3DXSaveMeshHierarchyToFile"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","771","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9anim.h"",""887"",""-"",""declaration/global"",""D3DXSaveMeshHierarchyToFileA"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","772","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""77"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","773","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""211"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","774","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""213"",""-"",""DECLARE_INTERFACE_"",""GetTransform"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","775","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""214"",""-"",""DECLARE_INTERFACE_"",""SetTransform"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","776","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""220"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DTEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","777","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""235"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","778","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""327"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","779","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""334"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DTEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","780","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""382"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","781","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""397"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","782","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""419"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","783","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""425"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","784","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""449"",""-"",""declaration/global"",""BeginScene"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","785","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""449"",""-"",""declaration/global"",""EndScene"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","786","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""450"",""-"",""declaration/global"",""BeginScene"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","787","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""450"",""-"",""declaration/global"",""EndScene"",""F"",""comment or string literal only"",""n/a"",""Retain text; excluded from runtime API counts"",""no API execution"""
"docs\renderer-milestone11-d3d9.csv","788","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""491"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","789","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""494"",""-"",""DECLARE_INTERFACE_"",""BeginScene"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","790","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""494"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DSURFACE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","791","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""495"",""-"",""DECLARE_INTERFACE_"",""EndScene"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","792","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""507"",""-"",""declaration/global"",""D3DXCreateRenderToSurface"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","793","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""508"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","794","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""581"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","795","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""585"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DCUBETEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","796","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""588"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DTEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","797","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""591"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DTEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","798","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""592"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DTEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","799","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""595"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DTEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","800","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""596"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DTEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","801","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""612"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","802","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""705"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","803","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9core.h"",""745"",""-"",""declaration/global"",""LPDIRECT3DDEVICE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","804","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9effect.h"",""238"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DBASETEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","805","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9effect.h"",""238"",""-"",""DECLARE_INTERFACE_"",""SetTexture"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","806","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9effect.h"",""239"",""-"",""DECLARE_INTERFACE_"",""GetTexture"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","807","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9effect.h"",""239"",""-"",""DECLARE_INTERFACE_"",""LPDIRECT3DBASETEXTURE9"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
"docs\renderer-milestone11-d3d9.csv","808","Documentation: history or current removal/dependency explanation","""extern/include/d3dx9effect.h"",""240"",""-"",""DECLARE_INTERFACE_"",""GetPixelShader"",""E"",""SDK declaration / external library implementation, not client draw"",""Diligent API, or retained asset dependency"",""No SDK edit"",""external header; not a game call chain"""
