ID;Alt;Neue Basis;Kategorie;Entscheidung;Hinweis;Maps;Quelle;2K Download
65;d:/ymir work/terrainmaps/b/stone/stone02.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs benötigt eine eigene abgeleitete Farbvariante.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_sungzi;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
66;d:/ymir work/terrainmaps/b/stone/stone03.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_sungzi;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
67;d:/ymir work/terrainmaps/b/stone/stone03_01.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
68;d:/ymir work/terrainmaps/b/stone/stone03_02.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs benötigt eine eigene abgeleitete Farbvariante.;metin2_map_milgyo, season1/metin2_map_nusluck01, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season1/metin2_map_wl_01, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
69;d:/ymir work/terrainmaps/b/stone/stone04.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
70;d:/ymir work/terrainmaps/b/stone/stone04_01.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs benötigt eine eigene abgeleitete Farbvariante.;gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
71;d:/ymir work/terrainmaps/b/stone/stone04_02.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
72;d:/ymir work/terrainmaps/b/tile/tile01.dds;Tiles130;Pflaster & Platten;Noch offen;"Das charakteristische Ornament aus dem Original erhalten; Tiles130 liefert nur das Steinmaterial.";gm_guild_build, map_b_fielddungeon, metin2_map_a1, metin2_map_a3, metin2_map_b1, metin2_map_b3, metin2_map_c1, metin2_map_c3, metin2_map_duel, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, metin2_map_wedding_01, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Tiles130;https://ambientcg.com/get?file=Tiles130_2K-PNG.zip
73;d:/ymir work/terrainmaps/b/tile/tile02.dds;PavingStones054;Pflaster & Platten;Noch offen;Nicht für intakte Dorfplätze verwenden.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/PavingStones054;https://ambientcg.com/get?file=PavingStones054_2K-PNG.zip
74;d:/ymir work/terrainmaps/b/tile/tile03.dds;PavingStones111;Pflaster & Platten;Noch offen;Vorhandene Fugenrichtung und Plattengröße beachten.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_oxevent, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
75;d:/ymir work/terrainmaps/b/tile/tile05.dds;PavingStones111;Pflaster & Platten;Noch offen;Vorhandene Fugenrichtung und Plattengröße beachten.;metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
76;d:/ymir work/terrainmaps/b/tile/tile06.dds;Tiles130;Pflaster & Platten;Noch offen;"Das charakteristische Ornament aus dem Original erhalten; Tiles130 liefert nur das Steinmaterial.";metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Tiles130;https://ambientcg.com/get?file=Tiles130_2K-PNG.zip
77;d:/ymir work/terrainmaps/bayblacksand/bayblacksand_blacksand.dds;Gravel040;Sand & Kies;Noch offen;Warme und kalte Kartenvarianten aus derselben Basis möglich.;metin2_map_bayblacksand;https://ambientcg.com/a/Gravel040;https://ambientcg.com/get?file=Gravel040_2K-PNG.zip
78;d:/ymir work/terrainmaps/bayblacksand/bayblacksand_cliff_002.dds;Rock051;Fels & Stein;Noch offen;Schichtungsrichtung passend zur vorhandenen Fläche.;metin2_map_bayblacksand;https://ambientcg.com/a/Rock051;https://ambientcg.com/get?file=Rock051_2K-PNG.zip
79;d:/ymir work/terrainmaps/bayblacksand/bayblacksand_field.dds;Ground067;Erde & Wege;Ausgewählt;Gleiche Farbfamilie für zusammenhängende Wüsten- und Bergflächen.;metin2_map_bayblacksand;https://ambientcg.com/a/Ground067;https://ambientcg.com/get?file=Ground067_2K-PNG.zip
80;d:/ymir work/terrainmaps/bayblacksand/bayblacksand_rock001.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;metin2_map_bayblacksand;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
81;d:/ymir work/terrainmaps/black.dds;;Technik;Noch offen;"Technische schwarze Hilfstextur beibehalten; kein Naturmaterial einsetzen.";metin2_map_n_snow_dungeon_01;;
82;d:/ymir work/terrainmaps/c/stone/c_stone04_bb.dds;Rock061;Fels & Stein;Noch offen;Für horizontale Böden die Schichtung weniger dominant halten.;season1/metin2_map_nusluck01, season1/metin2_map_wl_01;https://ambientcg.com/a/Rock061;https://ambientcg.com/get?file=Rock061_2K-PNG.zip
83;d:/ymir work/terrainmaps/c/stone/stone04.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs benötigt eine eigene abgeleitete Farbvariante.;metin2_map_duel;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
84;d:/ymir work/terrainmaps/c/tile/tile04.dds;PavingStones111;Pflaster & Platten;Noch offen;Vorhandene Fugenrichtung und Plattengröße beachten.;season1/metin2_map_oxevent;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
85;d:/ymir work/terrainmaps/c/tile/tile05.dds;PavingStones111;Pflaster & Platten;Noch offen;Vorhandene Fugenrichtung und Plattengröße beachten.;season1/metin2_map_oxevent;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
86;d:/ymir work/terrainmaps/capedragonhead/capedragon_cliff002.dds;Rock051;Fels & Stein;Noch offen;Schichtungsrichtung passend zur vorhandenen Fläche.;metin2_map_capedragonhead;https://ambientcg.com/a/Rock051;https://ambientcg.com/get?file=Rock051_2K-PNG.zip
87;d:/ymir work/terrainmaps/capedragonhead/capedragon_cliff003.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;metin2_map_capedragonhead;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
88;d:/ymir work/terrainmaps/capedragonhead/capedragon_field001.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;metin2_map_bayblacksand, metin2_map_capedragonhead;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
89;d:/ymir work/terrainmaps/capedragonhead/capedragon_field003.dds;leafy_grass;Gras & Waldboden;Neuer Vorschlag;"Bewuchsinseln bleiben getrennt; für Gras-/Erde-Übergänge statt einer geschlossenen Rasenfläche.";metin2_map_capedragonhead;https://polyhaven.com/a/leafy_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/leafy_grass/leafy_grass_diff_2k.png
90;d:/ymir work/terrainmaps/capedragonhead/capedragon_sand002.dds;Ground093A;Sand & Kies;Ausgewählt;Rillenrichtung und Größe an bestehende Flächen anpassen.;metin2_map_capedragonhead;https://ambientcg.com/a/Ground093A;https://ambientcg.com/get?file=Ground093A_2K-PNG.zip
91;d:/ymir work/terrainmaps/capedragonhead/capedragon_stone001.dds;Ground106;Erde & Wege;Ausgewählt;Steingröße im Spiel prüfen.;metin2_map_bayblacksand, metin2_map_capedragonhead;https://ambientcg.com/a/Ground106;https://ambientcg.com/get?file=Ground106_2K-PNG.zip
92;d:/ymir work/terrainmaps/capedragonhead/stone_tile_001.dds;PavingStones130;Pflaster & Platten;Noch offen;"Alternatives Grundmaterial; Alterung und dunklere Fugen ergänzen.";metin2_map_capedragonhead;https://ambientcg.com/a/PavingStones130;https://ambientcg.com/get?file=PavingStones130_2K-PNG.zip
93;d:/ymir work/terrainmaps/capedragonhead/stone_tile_002.dds;PavingStones070;Pflaster & Platten;Noch offen;Gedämpfte Grautöne und dezente Fugen.;metin2_map_capedragonhead;https://ambientcg.com/a/PavingStones070;https://ambientcg.com/get?file=PavingStones070_2K-PNG.zip
94;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_feild002.dds;forest_ground_06;Gras & Waldboden;Neuer Vorschlag;"Das Original ist ein sehr dunkler Boden. Diese erdige Basis erhält den Bodentyp; die endgültige Helligkeit muss beim Einbau an die Karte angepasst werden.";metin2_map_dawnmistwood;https://polyhaven.com/a/forest_ground_06;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forest_ground_06/forest_ground_06_diff_2k.png
95;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_field000.dds;forest_ground_06;Gras & Waldboden;Neuer Vorschlag;"Das Original ist ein sehr dunkler Boden. Diese erdige Basis erhält den Bodentyp; die endgültige Helligkeit muss beim Einbau an die Karte angepasst werden.";metin2_map_dawnmistwood;https://polyhaven.com/a/forest_ground_06;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forest_ground_06/forest_ground_06_diff_2k.png
96;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_field001.dds;Ground067;Erde & Wege;Ausgewählt;Gleiche Farbfamilie für zusammenhängende Wüsten- und Bergflächen.;metin2_map_dawnmistwood;https://ambientcg.com/a/Ground067;https://ambientcg.com/get?file=Ground067_2K-PNG.zip
97;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_field003.dds;forrest_ground_03;Gras & Waldboden;Neuer Vorschlag;"Feine Streu statt großer bunter Herbstblätter; für trockene Waldflächen und Übergänge.";metin2_map_dawnmistwood;https://polyhaven.com/a/forrest_ground_03;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forrest_ground_03/forrest_ground_03_diff_2k.png
98;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_rock001.dds;Rock031;Fels & Stein;Ausgewählt;Dunkel halten, Details in Schatten prüfen.;metin2_map_dawnmistwood;https://ambientcg.com/a/Rock031;https://ambientcg.com/get?file=Rock031_2K-PNG.zip
99;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_sand000.dds;Ground067;Erde & Wege;Ausgewählt;Gleiche Farbfamilie für zusammenhängende Wüsten- und Bergflächen.;metin2_map_dawnmistwood;https://ambientcg.com/a/Ground067;https://ambientcg.com/get?file=Ground067_2K-PNG.zip
100;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_sand001.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;metin2_map_dawnmistwood;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
101;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_stone001.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs benötigt eine eigene abgeleitete Farbvariante.;metin2_map_dawnmistwood;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
102;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_tile000.dds;PavingStones141;Pflaster & Platten;Noch offen;Warmgrau statt stark orange abstimmen.;metin2_map_dawnmistwood;https://ambientcg.com/a/PavingStones141;https://ambientcg.com/get?file=PavingStones141_2K-PNG.zip
103;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_tile001.dds;PavingStones111;Pflaster & Platten;Noch offen;Vorhandene Fugenrichtung und Plattengröße beachten.;metin2_map_dawnmistwood;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
104;d:/ymir work/terrainmaps/dungeon/devilcave/dc_field_00.dds;forrest_ground_01;Gras & Waldboden;Neuer Vorschlag;"Dezentes Waldgrün statt der bisherigen gelbgrünen Moosbasis; vor Einbau an die dunklere Kartenhelligkeit angleichen.";metin2_map_devilscatacomb;https://polyhaven.com/a/forrest_ground_01;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forrest_ground_01/forrest_ground_01_diff_2k.png
105;d:/ymir work/terrainmaps/dungeon/devilcave/dc_field_01.dds;forrest_ground_03;Gras & Waldboden;Neuer Vorschlag;"Feine Streu statt großer bunter Herbstblätter; für trockene Waldflächen und Übergänge.";metin2_map_devilscatacomb;https://polyhaven.com/a/forrest_ground_03;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forrest_ground_03/forrest_ground_03_diff_2k.png
106;d:/ymir work/terrainmaps/dungeon/devilcave/dc_field_02.dds;Ground067;Erde & Wege;Ausgewählt;Gleiche Farbfamilie für zusammenhängende Wüsten- und Bergflächen.;metin2_map_devilscatacomb;https://ambientcg.com/a/Ground067;https://ambientcg.com/get?file=Ground067_2K-PNG.zip
107;d:/ymir work/terrainmaps/dungeon/devilcave/dc_lava_red_00.dds;Lava004;Lava & Vulkan;Ausgewählt;"Quellvorschau enthält Leuchten; das muss beim Einbau gesondert umgesetzt werden.";metin2_map_devilscatacomb;https://ambientcg.com/a/Lava004;https://ambientcg.com/get?file=Lava004_2K-PNG.zip
108;d:/ymir work/terrainmaps/dungeon/devilcave/dc_lava_red_01.dds;Lava001;Lava & Vulkan;Ausgewählt;Die Richtung des Flusses an den ursprünglichen Boden anpassen.;metin2_map_devilscatacomb;https://ambientcg.com/a/Lava001;https://ambientcg.com/get?file=Lava001_2K-PNG.zip
109;d:/ymir work/terrainmaps/dungeon/devilcave/dc_rock_00.dds;Rock031;Fels & Stein;Ausgewählt;Dunkel halten, Details in Schatten prüfen.;metin2_map_devilscatacomb;https://ambientcg.com/a/Rock031;https://ambientcg.com/get?file=Rock031_2K-PNG.zip
110;d:/ymir work/terrainmaps/dungeon/devilcave/dc_rock_01.dds;Rock031;Fels & Stein;Ausgewählt;Dunkel halten, Details in Schatten prüfen.;metin2_map_devilscatacomb;https://ambientcg.com/a/Rock031;https://ambientcg.com/get?file=Rock031_2K-PNG.zip
111;d:/ymir work/terrainmaps/dungeon/devilcave/dc_spider_00.dds;Rock031;Fels & Stein;Ausgewählt;"Spinnweben aus dem Original als eigenes Detail erhalten; Rock031 ist nur die Felsbasis.";metin2_map_devilscatacomb, metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Rock031;https://ambientcg.com/get?file=Rock031_2K-PNG.zip
112;d:/ymir work/terrainmaps/dungeon/devilcave/dc_stone_lava_00.dds;Lava002;Lava & Vulkan;Ausgewählt;"Dunklen Felsanteil erhalten; Leuchten gesondert prüfen.";metin2_map_devilscatacomb;https://ambientcg.com/a/Lava002;https://ambientcg.com/get?file=Lava002_2K-PNG.zip
113;d:/ymir work/terrainmaps/dungeon/devilcave/dc_tile_00.dds;Tiles093;Pflaster & Platten;Noch offen;"Dungeonspezifische Ornamente erhalten; Steinfarbe und Fugen am Original orientieren.";metin2_map_devilscatacomb;https://ambientcg.com/a/Tiles093;https://ambientcg.com/get?file=Tiles093_2K-PNG.zip
114;d:/ymir work/terrainmaps/dungeon/field 01.dds;forest_ground_06;Gras & Waldboden;Neuer Vorschlag;"Das Original ist ein sehr dunkler Boden. Diese erdige Basis erhält den Bodentyp; die endgültige Helligkeit muss beim Einbau an die Karte angepasst werden.";metin2_map_devilscatacomb, metin2_map_deviltower1, metin2_map_monkeydungeon, metin2_map_monkeydungeon_02, metin2_map_monkeydungeon_03, metin2_map_n_flame_dungeon_01, metin2_map_n_snow_dungeon_01, metin2_map_skipia_dungeon_02, metin2_map_skipia_dungeon_boss, metin2_map_spiderdungeon, metin2_map_spiderdungeon_02, metin2_map_spiderdungeon_03, season1/metin2_map_skipia_bossdungeon, season1/metin2_map_skipia_dungeon_01, season1/metin2_map_skipia_dungeon_02, season1/metin2_map_spider_bossdungeon, season1/metin2_map_spiderdungeon_02, season2/metin2_map_guild_inside01, season2/metin2_map_skipia_bossdungeon, season2/metin2_map_skipia_dungeon_01, season2/metin2_map_skipia_dungeon_02;https://polyhaven.com/a/forest_ground_06;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forest_ground_06/forest_ground_06_diff_2k.png
115;d:/ymir work/terrainmaps/ema1/beach/beach sand 03.dds;Ground079L;Sand & Kies;Ausgewählt;Je nach Karte warmbeige oder dunkler abstimmen.;season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01;https://ambientcg.com/a/Ground079L;https://ambientcg.com/get?file=Ground079L_2K-PNG.zip
116;d:/ymir work/terrainmaps/ema1/field/field 05.dds;forrest_ground_03;Gras & Waldboden;Neuer Vorschlag;"Feine Streu statt großer bunter Herbstblätter; für trockene Waldflächen und Übergänge.";season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03;https://polyhaven.com/a/forrest_ground_03;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forrest_ground_03/forrest_ground_03_diff_2k.png
117;d:/ymir work/terrainmaps/ema1/stone/stone03.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
118;d:/ymir work/terrainmaps/ema1/tile/tile01.dds;PavingStones054;Pflaster & Platten;Noch offen;Nicht für intakte Dorfplätze verwenden.;season1/metin2_map_oxevent;https://ambientcg.com/a/PavingStones054;https://ambientcg.com/get?file=PavingStones054_2K-PNG.zip
119;d:/ymir work/terrainmaps/empirewar/desert/field01.dds;Ground079S;Sand & Kies;Ausgewählt;Als Übergang zwischen Erde und feinem Sand.;season2/metin2_map_empirewar03;https://ambientcg.com/a/Ground079S;https://ambientcg.com/get?file=Ground079S_2K-PNG.zip
120;d:/ymir work/terrainmaps/empirewar/desert/field02.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;season2/metin2_map_empirewar03;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
121;d:/ymir work/terrainmaps/empirewar/desert/sand01.dds;Ground079L;Sand & Kies;Ausgewählt;Je nach Karte warmbeige oder dunkler abstimmen.;season2/metin2_map_empirewar03;https://ambientcg.com/a/Ground079L;https://ambientcg.com/get?file=Ground079L_2K-PNG.zip
122;d:/ymir work/terrainmaps/empirewar/desert/sand02.dds;Ground093A;Sand & Kies;Ausgewählt;Rillenrichtung und Größe an bestehende Flächen anpassen.;season2/metin2_map_empirewar03;https://ambientcg.com/a/Ground093A;https://ambientcg.com/get?file=Ground093A_2K-PNG.zip
123;d:/ymir work/terrainmaps/empirewar/desert/stone01.dds;Rock061;Fels & Stein;Noch offen;Für horizontale Böden die Schichtung weniger dominant halten.;season2/metin2_map_empirewar03;https://ambientcg.com/a/Rock061;https://ambientcg.com/get?file=Rock061_2K-PNG.zip
124;d:/ymir work/terrainmaps/empirewar/desert/stone02.dds;Rock026;Fels & Stein;Noch offen;Für Schnee auf Fels mit Snow010A kombinieren, nicht als fertige Schneetextur behandeln.;season2/metin2_map_empirewar03;https://ambientcg.com/a/Rock026;https://ambientcg.com/get?file=Rock026_2K-PNG.zip
125;d:/ymir work/terrainmaps/empirewar/desert/tile01.dds;PavingStones111;Pflaster & Platten;Noch offen;Vorhandene Fugenrichtung und Plattengröße beachten.;season2/metin2_map_empirewar03;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
126;d:/ymir work/terrainmaps/empirewar/desert/tile02.dds;Tiles130;Pflaster & Platten;Noch offen;Spezielle Ornamente bleiben eine eigene Variante.;season2/metin2_map_empirewar03;https://ambientcg.com/a/Tiles130;https://ambientcg.com/get?file=Tiles130_2K-PNG.zip
127;d:/ymir work/terrainmaps/empirewar/desert/tile03.dds;PavingStones054;Pflaster & Platten;Noch offen;Nicht für intakte Dorfplätze verwenden.;season2/metin2_map_empirewar03;https://ambientcg.com/a/PavingStones054;https://ambientcg.com/get?file=PavingStones054_2K-PNG.zip
128;d:/ymir work/terrainmaps/empirewar/field01.dds;Ground085;Erde & Wege;Ausgewählt;Warmbraune Grundfarbe und ruhige Details.;season1/metin2_map_empirewar_a01;https://ambientcg.com/a/Ground085;https://ambientcg.com/get?file=Ground085_2K-PNG.zip
129;d:/ymir work/terrainmaps/empirewar/field02.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;season1/metin2_map_empirewar_a01;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
130;d:/ymir work/terrainmaps/empirewar/field03.dds;leafy_grass;Gras & Waldboden;Neuer Vorschlag;"Bewuchsinseln bleiben getrennt; für Gras-/Erde-Übergänge statt einer geschlossenen Rasenfläche.";season1/metin2_map_empirewar_a01;https://polyhaven.com/a/leafy_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/leafy_grass/leafy_grass_diff_2k.png
131;d:/ymir work/terrainmaps/empirewar/river01.dds;Rocks022;Sand & Kies;Noch offen;Farbigkeit und Helligkeit reduzieren, falls die Steine zu bunt wirken.;season1/metin2_map_empirewar_a01;https://ambientcg.com/a/Rocks022;https://ambientcg.com/get?file=Rocks022_2K-PNG.zip
132;d:/ymir work/terrainmaps/empirewar/snow/field01.dds;Snow013;Schnee & Eis;Noch offen;Für Wege und kompaktere Winterflächen.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Snow013;https://ambientcg.com/get?file=Snow013_2K-PNG.zip
133;d:/ymir work/terrainmaps/empirewar/snow/field02.dds;Snow010A;Schnee & Eis;Noch offen;Auch als Schneeschicht für Stein und Pflaster vorgesehen.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Snow010A;https://ambientcg.com/get?file=Snow010A_2K-PNG.zip
134;d:/ymir work/terrainmaps/empirewar/snow/field03.dds;Snow012;Schnee & Eis;Noch offen;Kontrast der dunklen Erde ruhig halten.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Snow012;https://ambientcg.com/get?file=Snow012_2K-PNG.zip
135;d:/ymir work/terrainmaps/empirewar/snow/river01.dds;Rocks022;Sand & Kies;Noch offen;Farbigkeit und Helligkeit reduzieren, falls die Steine zu bunt wirken.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Rocks022;https://ambientcg.com/get?file=Rocks022_2K-PNG.zip
136;d:/ymir work/terrainmaps/empirewar/snow/stone01.dds;Rock026;Fels & Stein;Noch offen;Schneeschicht auf Fels als eigene 2K-Variante kombinieren.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Rock026;https://ambientcg.com/get?file=Rock026_2K-PNG.zip
137;d:/ymir work/terrainmaps/empirewar/snow/stone02.dds;Rock026;Fels & Stein;Noch offen;Schneeschicht auf Fels als eigene 2K-Variante kombinieren.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Rock026;https://ambientcg.com/get?file=Rock026_2K-PNG.zip
138;d:/ymir work/terrainmaps/empirewar/snow/stone03.dds;Rock026;Fels & Stein;Noch offen;Schneeschicht auf Fels als eigene 2K-Variante kombinieren.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Rock026;https://ambientcg.com/get?file=Rock026_2K-PNG.zip
139;d:/ymir work/terrainmaps/empirewar/snow/tile01.dds;PavingStones111;Pflaster & Platten;Noch offen;Schnee und vorhandene Plattenfugen als eigene 2K-Variante kombinieren.;season2/metin2_map_empirewar01;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
140;d:/ymir work/terrainmaps/empirewar/snow/tile02.dds;PavingStones070;Pflaster & Platten;Noch offen;Schnee und Pflaster als eigene 2K-Variante kombinieren.;season2/metin2_map_empirewar01;https://ambientcg.com/a/PavingStones070;https://ambientcg.com/get?file=PavingStones070_2K-PNG.zip
141;d:/ymir work/terrainmaps/empirewar/snow/tile03.dds;PavingStones111;Pflaster & Platten;Noch offen;Schnee und vorhandene Plattenfugen als eigene 2K-Variante kombinieren.;season2/metin2_map_empirewar01;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
142;d:/ymir work/terrainmaps/empirewar/snow/tile04.dds;PavingStones111;Pflaster & Platten;Noch offen;"Schnee und Pflaster kombinieren; fehlendes Original vor dem Einbau prüfen.";season2/metin2_map_empirewar01;https://ambientcg.com/a/PavingStones111;https://ambientcg.com/get?file=PavingStones111_2K-PNG.zip
143;d:/ymir work/terrainmaps/empirewar/stone01.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;season1/metin2_map_empirewar_a01;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
